LARGEST_GIFT_AMOUNT,FIRST_GIFT_DATE,LARGEST_GIFT_DATE,LAST_GIFT_DATE,TOTAL_NUMBER_GIFTS,TOTAL_GIVING_CAPACITY,TOTAL_INCOME,TOTAL_DONATIONS,TOTAL_EAD,LARGEST_REALEST_VALUE,TOTAL_NO_EVENTS_PARTICIPATED,GENDER,LAST_GIFT_AMOUNT,Financially_In_Dept,Avg_Gift_Amount,gifting_Capcity,gift_check,age,cat_LARGEST_GIFT_AMOUNT
180.0,2000,2014,2014,2.0,222331.0,375000.0,11459.0,7662.0,752146.0,0.0,M,180.0,False,115.0,0.0010344936153752738,False,60.0,0
180.0,2000,2011,2012,10.0,103278.0,225000.0,1038.0,4091.0,601633.0,0.0,F,15.0,False,103.8,0.010050543194097485,False,48.0,0
2000.0,1994,2007,2007,6.0,2669.0,0.0,2669.0,0.0,0.0,0.0,M,2000.0,False,444.8333333333333,1.0,False,82.0,0
300.0,1998,2008,2009,12.0,125859.0,187500.0,1802.0,4972.0,418643.0,0.0,M,25.0,False,150.16666666666666,0.014317609388283714,False,78.0,0
500.0,2015,2021,2021,2.0,57036.0,91500.0,3130.0,1517.0,657211.0,2.0,F,500.0,False,350.0,0.012272950417280314,False,45.0,0
136.05,2018,2018,2018,1.0,21136.0,37500.0,136.0,1391.0,0.0,0.0,F,136.05,True,136.05,0.0064368849356548075,False,79.0,0
144.0,2005,2005,2022,17.0,6001.0,37500.0,376.0,979.0,0.0,0.0,F,24.19,True,22.128235294117648,0.06268621896350608,False,37.0,0
180.0,2012,2014,2015,4.0,149763.0,187500.0,480.0,6186.0,360650.0,0.0,M,60.0,False,120.0,0.0032050640011217725,False,93.0,0
144.0,1997,2011,2011,6.0,2384.0,7500.0,209.0,566.0,0.0,0.0,M,24.0,True,34.833333333333336,0.08766778523489933,False,52.0,0
180.0,2006,2011,2011,6.0,44383.0,125000.0,633.0,1802.0,0.0,0.0,F,180.0,False,105.5,0.014262217515715476,False,51.0,0
100.0,2014,2014,2014,1.0,178739.0,225000.0,100.0,6113.0,603523.0,0.0,F,100.0,False,100.0,0.0005594749886706315,False,69.0,0
180.0,2006,2013,2013,4.0,91696.0,187500.0,612.0,3747.0,612485.0,0.0,M,180.0,False,153.0,0.0066742278834409354,False,51.0,0
100.0,2011,2011,2011,1.0,102600.0,187500.0,100.0,2619.0,0.0,0.0,F,100.0,False,100.0,0.0009746588693957114,False,74.0,0
180.0,2011,2013,2015,3.0,113535.0,187500.0,410.0,4651.0,0.0,0.0,F,50.0,False,136.66666666666666,0.0036112212093187125,False,77.0,0
100.0,2014,2014,2014,1.0,66020.0,87500.0,100.0,1845.0,478404.0,0.0,F,100.0,False,100.0,0.001514692517418964,False,71.0,0
163.19,2017,2017,2017,1.0,103716.0,187500.0,163.0,3523.0,416765.0,0.0,F,163.19,False,163.19,0.0015734312931466698,False,35.0,0
50.0,2017,2017,2017,1.0,60207.0,52800.0,50.0,1987.0,542602.0,0.0,F,50.0,False,50.0,0.0008304682179812978,False,53.0,0
150.0,2013,2013,2013,1.0,296260.0,396000.0,150.0,8844.0,2279000.0,0.0,M,150.0,False,150.0,0.0005063120232228448,False,69.0,0
150.0,2011,2013,2013,3.0,36525.0,87500.0,400.0,1541.0,0.0,0.0,M,150.0,False,133.33333333333334,0.010951403148528405,False,50.0,0
119.0,1993,1993,2014,5.0,97854.0,162500.0,522.0,4043.0,386630.0,0.0,M,25.0,False,49.8,0.0025446072720583727,False,70.0,0
50.0,2014,2014,2014,1.0,137906.0,225000.0,50.0,5431.0,282129.0,0.0,F,50.0,False,50.0,0.00036256580569373343,False,78.0,0
180.0,2011,2011,2011,1.0,65054.0,87500.0,180.0,1829.0,474973.0,0.0,M,180.0,False,180.0,0.0027669320871891046,False,70.0,0
180.0,2011,2011,2011,1.0,9205.0,47500.0,180.0,1117.0,0.0,0.0,F,180.0,False,180.0,0.01955458989679522,False,42.0,0
360.0,1999,2007,2008,7.0,156810.0,187500.0,2781.0,5082.0,533607.0,0.0,F,30.0,False,252.85714285714286,0.011287545437153242,False,64.0,0
100.0,1999,2011,2011,6.0,246289.0,375000.0,358.0,8653.0,417719.0,0.0,F,8.24,False,59.70666666666667,0.001454551360393684,False,81.0,0
250.0,2011,2018,2018,6.0,58973.0,225000.0,1280.0,2164.0,208855.0,0.0,F,250.0,False,213.33333333333334,0.021704847981279567,False,44.0,0
180.0,2012,2012,2013,2.0,41130.0,45000.0,210.0,1553.0,278399.0,0.0,F,30.0,False,105.0,0.005105762217359592,False,83.0,0
50.0,2010,2012,2012,2.0,130171.0,74600.0,44168.0,2435.0,718189.0,0.0,F,50.0,False,37.5,0.0005761651980855951,False,46.0,0
100.0,2017,2017,2017,1.0,29475.0,87500.0,100.0,1515.0,0.0,0.0,M,100.0,False,100.0,0.0033927056827820186,False,48.0,0
75.0,2012,2012,2012,1.0,115601.0,187500.0,675.0,4319.0,554830.0,0.0,F,75.0,False,75.0,0.0006487833150232265,False,56.0,0
100.0,2004,2015,2015,10.0,74612.0,63600.0,1000.0,3099.0,683593.0,0.0,F,100.0,False,100.0,0.013402669811826516,False,85.0,0
50.0,2015,2015,2015,1.0,98710.0,87500.0,250.0,2618.0,986209.0,0.0,M,50.0,False,50.0,0.0005065342923715935,False,43.0,0
360.0,2001,2015,2016,6.0,105107.0,87500.0,1212.0,3951.0,632721.0,0.0,M,30.0,False,202.0,0.01153110639633897,False,85.0,0
100.0,2011,2011,2011,1.0,28350.0,35000.0,100.0,1525.0,0.0,0.0,F,100.0,False,100.0,0.003527336860670194,False,93.0,0
250.0,2015,2015,2015,1.0,222309.0,463000.0,9238.0,7511.0,650027.0,1.0,M,250.0,False,250.0,0.0011245608589845666,False,61.0,0
250.0,2004,2012,2020,29.0,47299.0,70000.0,3170.0,1598.0,294583.0,0.0,F,100.0,False,109.3103448275862,0.06702044440685849,False,65.0,0
100.0,2009,2018,2018,10.0,106677.0,187500.0,1000.0,4398.0,238540.0,0.0,M,100.0,False,100.0,0.009374091884848655,False,72.0,0
25.0,2019,2019,2022,17.0,35855.0,50900.0,396.0,1231.0,429551.0,0.0,F,24.25,False,23.286470588235293,0.011040859015479012,False,50.0,0
100.0,2021,2021,2021,1.0,17950.0,70000.0,100.0,1246.0,0.0,0.0,M,100.0,False,100.0,0.005571030640668524,False,35.0,0
20.94,2021,2022,2022,16.0,48167.0,70000.0,326.0,1312.0,431556.0,0.0,M,20.94,False,20.368125,0.006765835530549961,False,42.0,0
250.0,2013,2013,2013,1.0,223343.0,375000.0,42093.0,6612.0,0.0,0.0,F,250.0,False,250.0,0.0011193545354007065,False,68.0,0
200.0,2010,2013,2015,9.0,98553.0,62500.0,4373.0,2458.0,772247.0,0.0,M,180.0,False,132.66666666666666,0.01211530851420048,False,54.0,0
100.0,2002,2014,2014,3.0,58988.0,87500.0,300.0,1636.0,578750.0,0.0,F,100.0,False,100.0,0.005085780158676341,False,57.0,0
50.0,2020,2021,2021,2.0,82278.0,125000.0,100.0,2195.0,368556.0,0.0,F,50.0,False,50.0,0.0012153917207515983,False,74.0,0
150.0,2016,2016,2016,2.0,62900.0,70000.0,177.0,2231.0,848463.0,0.0,M,150.0,False,88.735,0.0028214626391096977,False,51.0,0
165.0,2010,2010,2010,1.0,40305.0,66900.0,165.0,1830.0,0.0,0.0,F,165.0,True,165.0,0.004093784890212133,False,83.0,0
500.0,2004,2013,2022,33.0,98873.0,187500.0,3059.0,2445.0,266284.0,2.0,F,16.0,False,92.7,0.030939690309791348,False,67.0,0
500.0,2001,2003,2015,5.0,194620.0,225000.0,1140.0,7987.0,359603.0,0.0,F,40.0,False,228.0,0.005857568595211181,False,0.0,0
180.0,2011,2015,2016,3.0,40424.0,47500.0,285.0,1156.0,584283.0,0.0,F,40.0,False,95.0,0.007050267168018999,False,46.0,0
200.0,2014,2014,2014,1.0,212357.0,187500.0,1450.0,7432.0,469012.0,0.0,M,200.0,False,200.0,0.0009418102534882297,False,88.0,0
90.0,2018,2018,2018,1.0,27590.0,62500.0,90.0,1375.0,0.0,0.0,M,90.0,False,90.0,0.0032620514679231605,False,53.0,0
144.0,2002,2002,2012,2.0,48319.0,62500.0,194.0,2059.0,0.0,0.0,F,50.0,True,97.0,0.0040149837538028515,False,0.0,0
100.0,2019,2019,2019,1.0,33158.0,27500.0,100.0,1245.0,342164.0,0.0,M,100.0,False,100.0,0.00301586344170336,False,81.0,0
300.0,2010,2017,2020,7.0,112566.0,187500.0,1600.0,4153.0,720779.0,1.0,F,200.0,False,228.57142857142858,0.014213883410621325,False,52.0,0
180.0,2002,2013,2013,9.0,81415.0,187500.0,1101.0,3562.0,518780.0,0.0,M,180.0,False,122.33333333333333,0.013523306515998281,False,51.0,0
100.0,2021,2021,2021,1.0,123951.0,125000.0,100.0,4787.0,554401.0,0.0,F,100.0,False,100.0,0.0008067704173423369,False,83.0,0
20000.0,2007,2007,2007,2.0,256501.0,281000.0,68623.0,6255.0,1678150.0,1.0,M,5000.0,False,12500.0,0.09746550695708789,False,60.0,0
50.0,2014,2014,2014,1.0,63395.0,187500.0,50.0,2077.0,329400.0,0.0,M,50.0,False,50.0,0.0007887057338906854,False,48.0,0
500.0,1997,2017,2017,4.0,189153.0,375000.0,1600.0,6770.0,451056.0,3.0,M,500.0,False,400.0,0.008458760897263062,False,66.0,0
100.0,1999,2015,2018,4.0,36000.0,62500.0,375.0,1564.0,0.0,0.0,F,75.0,False,93.75,0.010416666666666666,False,67.0,0
50.0,2014,2014,2014,1.0,46980.0,54300.0,50.0,1264.0,645379.0,0.0,M,50.0,False,50.0,0.0010642826734780758,False,49.0,0
50.0,2017,2017,2017,1.0,66847.0,70000.0,50.0,2607.0,719932.0,0.0,M,50.0,False,50.0,0.0007479767229643813,False,67.0,0
180.0,2011,2011,2011,1.0,98706.0,187500.0,180.0,4072.0,395514.0,0.0,F,180.0,False,180.0,0.001823597349705185,False,65.0,0
100.0,2013,2013,2013,1.0,87824.0,45000.0,100.0,3225.0,690712.0,0.0,M,100.0,False,100.0,0.0011386409182000364,False,92.0,0
