ID,LARGEST_GIFT_AMOUNT,BIRTH_DATE,FIRST_GIFT_DATE,LARGEST_GIFT_DATE,LAST_GIFT_DATE,TOTAL_GIFT_AMOUNT,TOTAL_NUMBER_GIFTS,TOTAL_GIVING_CAPACITY,TOTAL_INCOME,TOTAL_NETWORTH,TOTAL_DONATIONS,TOTAL_EAD,LARGEST_REALEST_VALUE,TOTAL_NO_EVENTS_PARTICIPATED,GENDER,FIRST_GIFT_AMOUNT,LAST_GIFT_AMOUNT,EDUCATION_SCHOOL_NAME,GRADUATE_DATE,TOTAL_YEARS_GIVING
16413,,1/1/1938,,,,,,31744,51200,25139,0,1666,0,0,F,,,,,
16414,,12/1/1957,,,,,,117523,187500,1773515,0,4536,775462,0,M,,,,,
16415,,6/1/1932,,,,,,47600,70000,42113,0,1997,0,0,F,,,,,
16416,500,2/1/1940,10/16/2020,10/16/2020,10/16/2020,500,1,38912,23000,559193,500,1176,492244,0,M,500,500,,,500
16417,,2/1/1956,,,,,,74431,112500,866737,0,1978,498613,0,F,,,,,
16418,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16419,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16420,,6/1/1982,,,,,,22500,125000,188936,0,1653,0,0,F,,,,,
16421,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16422,,1/1/1961,,,,,,34125,87500,45607,0,1708,0,0,M,,,,,
16423,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16424,,9/1/1934,,,,,,45500,70000,41081,0,1946,0,0,M,,,,,
16425,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16426,105,1/1/1948,2/25/2002,2/25/2002,6/17/2013,235,4,77232,125000,740329,235,2214,239940,0,M,105,50,,,235
16427,,1/10/2002,,,,,,0,0,0,0,0,0,0,M,,,,,
16428,,2/1/1971,,,,,,40629,62500,462433,0,1364,450081,0,F,,,,,
16429,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16430,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16431,,1/1/1942,,,,,,18900,17500,209414,0,1032,0,0,F,,,,,
16432,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16433,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16434,100,,11/21/2013,11/21/2013,11/21/2013,100,1,15992,74750,29008,2537,1482,0,0,M,100,100,,,100
16435,180,,3/6/2014,3/6/2014,3/6/2014,180,1,180,0,0,180,0,0,0,M,180,180,,,180
16436,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16437,,12/10/2008,,,,,,11725,47500,0,0,878,0,0,M,,,,,
16438,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16439,25315.19,12/18/1934,1/26/2005,1/26/2005,12/30/2020,400958.01,19,979010,187500,18104004,461298,36389,1805200,1,M,25315.19,25000,,,400958.01
16440,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16441,,8/1/1959,,,,,,58407,68400,844646,0,1569,607269,0,M,,,,,
16442,500,2/1/1965,3/3/2021,3/3/2021,3/3/2021,500,1,191812,375000,3457570,500,6735,1015650,0,M,500,500,,,500
16443,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16444,,7/1/1937,,,,,,71598,87500,828301,0,2099,329464,0,F,,,,,
16445,,1/1/1957,,,,,,31875,62500,212183,0,1538,0,0,F,,,,,
16446,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16447,100,4/1/2028,10/1/2014,10/1/2014,10/1/2014,100,1,292600,375000,5034926,100,10607,0,0,F,100,100,,,100
16448,240,9/1/1946,6/5/2004,6/4/2006,4/24/2015,1125,10,53745,46000,808409,1193,1476,563443,0,M,20,25,,,1125
16449,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16450,30.21,,5/24/2004,4/23/2022,4/23/2022,487.16,17,9037,47500,13288,487,1270,0,0,F,17,30.21,,,487.16
16451,,9/23/1937,,,,,,61742,87500,555984,0,2081,149830,0,M,,,,,
16452,,3/1/1987,,,,,,6175,47500,12239,0,1061,0,0,F,,,,,
16453,,4/1/1971,,,,,,43273,70000,454310,2215,1429,415150,0,M,,,,,
16454,180,2/1/1941,2/26/2004,3/18/2013,3/12/2015,1357,10,72684,87500,833615,1357,2028,394032,0,F,25,144,,,1357
16455,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16456,,11/1/1959,,,,,,89228,125000,1355178,0,3485,784562,0,F,,,,,
16457,,6/1/1959,,,,,,168316,187500,4109957,2964,5369,523379,0,M,,,,,
16458,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16459,,10/1/1976,,,,,,4025,17500,996,0,764,0,0,M,,,,,
16460,50,,3/3/2015,3/3/2015,3/3/2015,50,1,50,0,0,50,0,0,0,F,50,50,,,50
16461,,9/1/1975,,,,,,31376,62500,313047,0,1306,327510,0,F,,,,,
16462,,11/1/1951,,,,,,92109,125000,1358347,0,3764,451750,0,M,,,,,
16463,,1/1/1947,,,,,,218508,187500,4122205,40043,6060,743020,0,M,,,,,
16464,1000,4/1/1959,10/11/2013,9/24/2015,9/24/2015,3000,3,96037,187500,959773,3000,3933,323245,0,F,1000,1000,,,3000
16465,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16466,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16467,100,10/1/1953,8/20/2012,8/20/2012,8/20/2012,100,1,51600,87500,465883,100,1814,0,0,F,100,100,,,100
16468,,3/1/1956,,,,,,65834,87500,958368,0,2848,546677,0,M,,,,,
16469,,1/1/1950,,,,,,64281,38000,985851,5304,2063,799539,0,M,,,,,
