ID,LARGEST_GIFT_AMOUNT,BIRTH_DATE,FIRST_GIFT_DATE,LARGEST_GIFT_DATE,LAST_GIFT_DATE,TOTAL_GIFT_AMOUNT,TOTAL_NUMBER_GIFTS,TOTAL_GIVING_CAPACITY,TOTAL_INCOME,TOTAL_NETWORTH,TOTAL_DONATIONS,TOTAL_EAD,LARGEST_REALEST_VALUE,TOTAL_NO_EVENTS_PARTICIPATED,GENDER,FIRST_GIFT_AMOUNT,LAST_GIFT_AMOUNT,EDUCATION_SCHOOL_NAME,GRADUATE_DATE,TOTAL_YEARS_GIVING
1,,,,,,,,0,0,0,0,0,0,0,,,,,,
2,,12/1/1957,,,,,,138967,187500,2765944,0,4985,605537,0,M,,,,,
3,,12/1/1965,,,,,,15929,37500,10924,3179,1152,0,0,M,,,,,
4,135,6/1/1977,3/1/2011,3/1/2011,3/1/2011,135,1,38055,47500,496523,135,1156,539909,0,M,135,135,,,135
5,,,,,,,,0,0,0,0,0,0,0,,,,,,
6,,,,,,,,0,0,0,0,0,0,0,F,,,,,
7,,2/1/1956,,,,,,123034,70000,2603042,0,3178,769643,0,M,,,,,
8,,,,,,,,0,0,0,0,0,0,0,M,,,,,
9,,8/1/1962,,,,,,81889,35000,1607662,0,1959,552753,0,F,,,,,
10,,11/1/1969,,,,,,10500,35000,9019,0,1082,0,0,F,,,,,
11,,,,,,,,0,0,0,0,0,0,0,M,,,,,
12,,9/1/1983,,,,,,3970,17000,8334,0,711,0,0,F,,,,,
13,30,4/1/2028,3/10/2009,3/10/2009,3/16/2011,50,2,47550,62500,241982,50,1972,0,0,F,30,20,,,50
14,,,,,,,,0,0,0,0,0,0,0,M,,,,,
15,,7/1/1951,,,,,,61178,70000,881475,0,1697,537553,0,M,,,,,
16,,,,,,,,0,0,0,0,0,0,0,F,,,,,
17,,3/1/1950,,,,,,73188,87500,1075730,0,3096,588754,0,M,,,,,
18,,,,,,,,0,0,0,0,0,0,0,F,,,,,
19,,,,,,,,0,0,0,0,0,0,0,M,,,,,
20,2500,1/1/1959,9/2/2021,9/2/2021,9/2/2021,2500,1,17400819,2802980,197182528,16533,445228,2393990,1,M,2500,2500,,,2500
21,50,12/1/1957,3/8/2012,3/8/2012,3/8/2012,50,1,90861,187500,853348,50,2403,241225,0,M,50,50,,,50
22,,,,,,,,34650,45000,23752,0,1797,0,0,F,,,,,
23,,,,,,,,0,0,0,0,0,0,0,M,,,,,
24,7200,11/23/1938,3/2/2000,2/24/2006,11/30/2006,18200,3,260330,375000,3170188,18200,8560,267601,0,M,6000,5400,,,18200
25,,9/1/1983,,,,,,57393,125000,754012,0,2543,747867,0,F,,,,,
26,,,,,,,,0,0,0,0,0,0,0,M,,,,,
27,,10/1/1973,,,,,,41521,87500,423027,0,1528,375423,0,M,,,,,
28,240,10/1/1946,2/25/2000,2/27/2004,12/22/2009,1010,7,54790,71000,535916,3225,1766,278708,0,M,144,48,,,1010
29,,10/1/1955,,,,,,82593,62500,1693862,0,2748,747335,0,F,,,,,
30,,,,,,,,0,0,0,0,0,0,0,,,,,,
31,,3/1/1951,,,,,,113571,70000,2556750,0,3324,648981,0,M,,,,,
32,,,,,,,,0,0,0,0,0,0,0,M,,,,,
33,,12/1/2025,,,,,,92500,125000,1173605,0,4740,0,0,F,,,,,
34,,2/1/1949,,,,,,115647,187500,1337470,0,4660,400437,0,M,,,,,
35,300,11/1/2026,6/1/2010,6/12/2014,6/12/2014,400,2,46025,62500,37224,400,1989,0,0,F,100,300,,,400
36,200,12/1/1980,3/1/2009,3/10/2010,4/3/2013,660,4,206862,125000,3625739,660,3565,1046190,0,F,180,180,,,660
37,,,,,,,,6022,33455,6547,0,1126,0,0,M,,,,,
38,,12/1/1938,,,,,,165840,187500,3083308,2430,6175,671184,0,M,,,,,
39,100,9/11/1970,2/12/2019,2/12/2019,2/12/2019,100,1,100,0,0,100,0,0,0,F,100,100,,,100
40,,,,,,,,0,0,0,0,0,0,0,F,,,,,
41,250,,3/26/2020,3/26/2020,3/26/2020,250,1,250,0,0,250,0,0,0,,250,250,,,250
42,,5/1/1943,,,,,,65674,88400,698678,0,2002,305710,0,M,,,,,
43,,,,,,,,0,0,0,0,0,0,0,,,,,,
44,,,,,,,,0,0,0,0,0,0,0,F,,,,,
45,,,,,,,,0,0,0,0,0,0,0,F,,,,,
46,,1/1/1940,,,,,,53858,45000,846266,0,1553,537152,0,M,,,,,
47,,9/1/1969,,,,,,256082,103000,4799308,11529,3796,1812700,1,F,,,,,
48,,,,,,,,0,0,0,0,0,0,0,F,,,,,
49,,5/10/2000,,,,,,0,0,0,0,0,0,0,F,,,,,
50,,,,,,,,0,0,0,0,0,0,0,M,,,,,
51,,1/1/1952,,,,,,95000,187500,714263,0,2530,0,0,F,,,,,
52,,,,,,,,0,0,0,0,0,0,0,M,,,,,
53,,,,,,,,0,0,0,0,0,0,0,M,,,,,
54,,,,,,,,0,0,0,0,0,0,0,F,,,,,
55,,,,,,,,0,0,0,0,0,0,0,M,,,,,
56,,11/1/1952,,,,,,92390,125000,1375043,0,3738,672800,0,M,,,,,
57,,12/1/1969,,,,,,64644,125000,828083,0,1833,542877,1,F,,,,,
58,,,,,,,,0,0,0,0,0,0,0,M,,,,,
59,,5/1/1965,,,,,,12885,26100,86488,0,1000,0,0,F,,,,,
60,,1/28/1973,,,,,,11625,37500,144305,0,1085,0,0,F,,,,,
61,,8/1/1956,,,,,,31250,62500,178649,0,1551,0,0,F,,,,,
62,,11/1/1949,,,,,,72500,125000,648382,0,2176,0,0,M,,,,,
63,,,,,,,,0,0,0,0,0,0,0,F,,,,,
64,,,,,,,,0,0,0,0,0,0,0,M,,,,,
65,600,6/1/1988,10/12/2007,10/12/2007,6/13/2011,850,2,48201,187500,424569,5948,1858,395059,1,M,600,250,,,850
66,,,,,,,,0,0,0,0,0,0,0,F,,,,,
67,,,,,,,,0,0,0,0,0,0,0,F,,,,,
68,,,,,,,,0,0,0,0,0,0,0,F,,,,,
69,,,,,,,,0,0,0,0,0,0,0,M,,,,,
70,,,,,,,,0,0,0,0,0,0,0,M,,,,,
71,,6/1/1972,,,,,,100978,87500,1965609,0,2858,1081690,0,M,,,,,
72,,,,,,,,0,0,0,0,0,0,0,F,,,,,
73,,,,,,,,0,0,0,0,0,0,0,F,,,,,
74,,,,,,,,0,0,0,0,0,0,0,F,,,,,
75,,,,,,,,0,0,0,0,0,0,0,M,,,,,
76,,2/1/1948,,,,,,32500,62500,30972,0,1661,0,0,M,,,,,
77,,3/1/1965,,,,,,47750,87500,485458,0,1650,342504,0,F,,,,,
78,,12/1/1954,,,,,,290912,375000,6478017,250,8509,1858930,0,F,,,,,
79,,5/1/2024,,,,,,291250,375000,3871111,0,10443,0,0,F,,,,,
80,,,,,,,,0,0,0,0,0,0,0,F,,,,,
81,,,,,,,,0,0,0,0,0,0,0,F,,,,,
82,,,,,,,,0,0,0,0,0,0,0,M,,,,,
83,,,,,,,,0,0,0,0,0,0,0,F,,,,,
84,,5/1/1950,,,,,,66215,87500,727125,1966,1877,409984,0,M,,,,,
85,,2/1/2020,,,,,,35680,44600,24072,0,1837,0,0,M,,,,,
86,,6/1/1987,,,,,,7475,57500,17426,0,1148,0,0,M,,,,,
87,,,,,,,,0,0,0,0,0,0,0,F,,,,,
88,,,,,,,,0,0,0,0,0,0,0,M,,,,,
89,,,,,,,,0,0,0,0,0,0,0,F,,,,,
90,,,,,,,,0,0,0,0,0,0,0,,,,,,
91,,,,,,,,0,0,0,0,0,0,0,M,,,,,
92,,4/1/1952,,,,,,108000,225000,1073684,0,4662,0,0,F,,,,,
93,,,,,,,,0,0,0,0,0,0,0,M,,,,,
94,,,,,,,,0,0,0,0,0,0,0,F,,,,,
95,50,,6/30/2018,6/30/2018,6/30/2018,50,1,50,0,0,50,0,0,0,F,50,50,,,50
96,,6/1/1981,,,,,,61823,187500,749024,0,3109,523961,0,F,,,,,
97,,,,,,,,0,0,0,0,0,0,0,F,,,,,
98,,,,,,,,0,0,0,0,0,0,0,M,,,,,
99,,6/1/1955,,,,,,45797,62500,513424,0,1564,353435,0,M,,,,,
100,,,,,,,,0,0,0,0,0,0,0,M,,,,,
101,,5/2/1946,,,,,,40365,74750,41198,0,1820,0,0,F,,,,,
102,,,,,,,,0,0,0,0,0,0,0,F,,,,,
103,,,,,,,,0,0,0,0,0,0,0,F,,,,,
104,,,,,,,,0,0,0,0,0,0,0,F,,,,,
105,,7/1/1956,,,,,,176819,187500,3833153,0,5456,664402,0,M,,,,,
106,,,,,,,,0,0,0,0,0,0,0,M,,,,,
107,,9/1/1983,,,,,,6800,42500,10370,0,1039,0,0,M,,,,,
108,50,7/1/1960,4/30/2012,4/30/2012,4/30/2012,50,1,111505,187500,1579837,1766,4340,607882,0,M,50,50,,,50
109,,6/1/1930,,,,,,49000,70000,42808,0,2032,0,0,F,,,,,
110,,,,,,,,0,0,0,0,0,0,0,F,,,,,
111,,,,,,,,0,0,0,0,0,0,0,M,,,,,
112,,,,,,,,0,0,0,0,0,0,0,F,,,,,
113,,,,,,,,0,0,0,0,0,0,0,F,,,,,
114,,2/1/1952,,,,,,90000,187500,852706,0,2530,0,0,M,,,,,
115,,10/1/1934,,,,,,194266,187500,5086828,0,7166,511674,0,M,,,,,
116,,11/1/1974,,,,,,169294,71200,3107047,0,2787,624411,0,M,,,,,
117,,,,,,,,0,0,0,0,0,0,0,M,,,,,
118,,7/1/1954,,,,,,97991,70000,2085638,0,3089,844326,0,F,,,,,
119,,4/1/1937,,,,,,143014,187500,1754860,5563,5578,386522,0,M,,,,,
120,180,,6/4/2014,6/4/2014,6/4/2014,180,1,180,0,0,180,0,0,0,F,180,180,,,180
121,,,,,,,,0,0,0,0,0,0,0,F,,,,,
122,,,,,,,,0,0,0,0,0,0,0,F,,,,,
123,1000,10/1/1948,3/2/2006,3/2/2006,3/2/2006,1000,1,304460,187500,7862359,3000,6829,879375,0,M,1000,1000,,,1000
124,180,,6/10/2014,6/10/2014,6/10/2014,180,1,180,0,0,180,0,0,0,F,180,180,,,180
125,,12/1/1964,,,,,,98060,187500,1347471,0,4004,648707,0,M,,,,,
126,,5/1/1933,,,,,,52975,62500,543385,0,1889,221991,0,F,,,,,
127,,10/1/1957,,,,,,10164,24200,5346,0,1029,0,0,F,,,,,
128,200,6/1/1951,8/3/2017,2/26/2018,2/26/2018,220,2,45732,70000,421409,220,1697,224234,1,F,20,200,,,220
129,180,12/1/1936,6/1/2003,6/1/2011,5/31/2012,1554,9,96248,125000,1087152,1554,4168,318884,0,M,144,15,,,1554
130,,,,,,,,0,0,0,0,0,0,0,M,,,,,
131,,2/1/1940,,,,,,87799,45300,2060704,0,2895,665439,0,F,,,,,
132,,,,,,,,0,0,0,0,0,0,0,F,,,,,
133,600,1/1/1948,3/18/2004,11/19/2009,11/19/2009,1200,2,254429,375000,5201481,1200,8697,602579,0,M,600,600,,,1200
134,,4/1/2024,,,,,,44850,47500,457330,0,1822,0,0,F,,,,,
135,8.84,9/1/1973,9/11/2021,4/23/2022,4/23/2022,132.68,16,25833,70000,189896,133,1393,0,0,M,7.65,8.84,,,132.68
136,,6/1/1954,,,,,,20284,20300,234915,0,990,218927,0,F,,,,,
137,600,1/1/1960,2/16/2011,2/16/2011,2/16/2011,600,1,93360,17500,1837688,600,1486,1715200,0,M,600,600,,,600
138,,5/1/1973,,,,,,37669,74700,382343,0,1443,0,0,F,,,,,
139,,,,,,,,0,0,0,0,0,0,0,M,,,,,
140,,3/1/1957,,,,,,110423,187500,1561553,0,4453,595950,2,M,,,,,
141,,8/1/1964,,,,,,28067,47500,263753,0,1292,219340,0,F,,,,,
142,,5/1/1938,,,,,,114566,117000,2037148,0,4584,840510,0,F,,,,,
143,,,,,,,,0,0,0,0,0,0,0,F,,,,,
144,3000,1/15/1955,12/20/1993,1/24/2011,3/10/2020,6920,12,222723,375000,3606131,8321,7490,587749,5,M,170,100,,,6920
145,,,,,,,,0,0,0,0,0,0,0,F,,,,,
146,,10/1/1958,,,,,,88630,87500,1793768,500,3159,1045100,0,F,,,,,
147,,11/1/1970,,,,,,21344,73600,31807,0,1459,0,0,F,,,,,
148,,,,,,,,0,0,0,0,0,0,0,M,,,,,
149,,8/1/1973,,,,,,6534,24200,3772,0,905,0,0,M,,,,,
150,,7/1/1938,,,,,,136031,135000,3280898,140,5425,550987,0,M,,,,,
151,,,,,,,,0,0,0,0,0,0,0,M,,,,,
152,,9/1/1944,,,,,,26125,47500,246824,0,1521,0,0,M,,,,,
153,,1/1/1961,,,,,,27975,52500,221928,0,1382,0,0,F,,,,,
154,,5/1/1964,,,,,,11186,27600,32058,0,1032,0,0,M,,,,,
155,,,,,,,,0,0,0,0,0,0,0,M,,,,,
156,50,6/1/1955,8/29/2012,8/29/2012,8/29/2012,50,1,186363,375000,3062585,782,7207,336610,0,F,50,50,,,50
157,,8/1/1951,,,,,,35550,70000,118511,0,1697,0,0,M,,,,,
158,,,,,,,,13455,74750,29008,0,1482,0,0,M,,,,,
159,180,,2/26/1999,3/1/2010,3/10/2011,394,6,394,0,0,394,0,0,0,F,20,15,,,394
160,,5/1/1940,,,,,,75731,87500,936128,25,2045,464121,0,F,,,,,
161,100,,3/3/2021,3/3/2021,3/3/2021,100,1,47190,115779,811304,100,1721,525000,0,M,100,100,,,100
162,,5/1/1985,,,,,,13125,87500,36090,0,1390,0,0,F,,,,,
163,,5/1/1946,,,,,,223302,112500,5516244,0,5143,792385,0,M,,,,,
164,,,,,,,,0,0,0,0,0,0,0,F,,,,,
165,,,,,,,,0,0,0,0,0,0,0,M,,,,,
166,,,,,,,,0,0,0,0,0,0,0,F,,,,,
167,100,3/1/1982,2/16/2017,2/16/2017,2/16/2017,100,1,30536,35000,349363,100,976,482727,0,F,100,100,,,100
168,,,,,,,,0,0,0,0,0,0,0,F,,,,,
169,,,,,,,,0,0,0,0,0,0,0,M,,,,,
170,,10/1/1973,,,,,,16250,62500,23696,0,1329,0,0,M,,,,,
171,,8/1/1957,,,,,,99815,125000,1594548,0,3714,557922,0,M,,,,,
172,,,,,,,,0,0,0,0,0,0,0,F,,,,,
173,,,,,,,,0,0,0,0,0,0,0,F,,,,,
174,,9/1/1972,,,,,,80157,187500,994545,1716,3500,556320,1,M,,,,,
175,,6/1/1959,,,,,,95129,187500,1008043,0,3977,365077,0,M,,,,,
176,,4/7/1978,,,,,,270957,375000,5462957,0,6631,992209,3,F,,,,,
177,,6/1/1943,,,,,,166464,187500,3687584,4398,6158,1103810,0,M,,,,,
178,125,8/1/1958,2/24/2014,2/24/2014,2/24/2014,125,1,197129,375000,3064843,125,7020,790077,0,M,125,125,,,125
179,,1/1/1990,,,,,,4500,45000,10439,0,1011,0,0,F,,,,,
180,,,,,,,,0,0,0,0,0,0,0,F,,,,,
181,50,,7/8/2019,7/8/2019,7/8/2019,50,1,34636,92100,391212,3229,1592,296583,0,M,50,50,,,50
182,,,,,,,,0,0,0,0,0,0,0,F,,,,,
183,,,,,,,,0,0,0,0,0,0,0,,,,,,
184,,,,,,,,0,0,0,0,0,0,0,M,,,,,
185,,5/1/1973,,,,,,70564,35000,1260313,0,1684,539671,0,F,,,,,
186,,3/1/1937,,,,,,190951,187500,5345076,3671,7093,785760,0,M,,,,,
187,,5/1/1932,,,,,,69868,70000,830511,2765,1997,390053,0,M,,,,,
188,,,,,,,,0,0,0,0,0,0,0,M,,,,,
189,,,,,,,,0,0,0,0,0,0,0,M,,,,,
190,,,,,,,,0,0,0,0,0,0,0,M,,,,,
191,,,,,,,,0,0,0,0,0,0,0,F,,,,,
192,,,,,,,,0,0,0,0,0,0,0,M,,,,,
193,,5/1/1954,,,,,,71738,87500,1054610,0,2965,371952,0,F,,,,,
194,,6/1/1943,,,,,,41626,45000,473799,0,1513,319513,0,M,,,,,
195,,7/1/1952,,,,,,47840,62500,528856,0,1605,356804,0,F,,,,,
196,,,,,,,,0,0,0,0,0,0,0,M,,,,,
197,,2/1/1978,,,,,,61096,62500,878883,0,1979,502730,0,M,,,,,
198,,,,,,,,0,0,0,0,0,0,0,M,,,,,
199,,,,,,,,0,0,0,0,0,0,0,F,,,,,
200,,,,,,,,0,0,0,0,0,0,0,M,,,,,
201,,,,,,,,0,0,0,0,0,0,0,M,,,,,
202,,,,,,,,0,0,0,0,0,0,0,,,,,,
203,,,,,,,,0,0,0,0,0,0,0,F,,,,,
204,,11/1/1969,,,,,,23070,51900,179417,0,1273,0,0,F,,,,,
205,,5/1/1946,,,,,,161260,187500,3590245,0,5940,949555,0,M,,,,,
206,,,,,,,,0,0,0,0,0,0,0,F,,,,,
207,50,11/1/1933,6/2/2011,6/2/2011,6/2/2011,50,1,85382,87500,1377238,50,3833,551645,0,F,50,50,,,50
208,200,,4/21/2011,2/18/2016,2/18/2016,400,3,400,0,0,400,0,0,0,M,100,200,,,400
209,,,,,,,,0,0,0,0,0,0,0,,,,,,
210,,6/1/1948,,,,,,34650,45000,342028,0,1450,0,0,M,,,,,
211,,,,,,,,0,0,0,0,0,0,0,F,,,,,
212,,8/1/1978,,,,,,57957,125000,738981,0,1711,609144,0,M,,,,,
213,,12/27/1936,,,,,,44100,70000,40398,0,1913,0,0,M,,,,,
214,,,,,,,,0,0,0,0,0,0,0,M,,,,,
215,180,10/1/1975,3/1/2014,3/1/2014,3/1/2014,180,1,30414,50900,321115,180,1200,360355,0,F,180,180,,,180
216,,9/1/1966,,,,,,23125,62500,106602,0,1411,0,0,F,,,,,
217,,,,,,,,0,0,0,0,0,0,0,M,,,,,
218,144,,2/22/2007,3/1/2012,3/1/2012,267,5,267,0,0,267,0,0,0,M,144,144,,,267
219,,,,,,,,0,0,0,0,0,0,0,F,,,,,
220,,,,,,,,0,0,0,0,0,0,0,F,,,,,
221,,1/1/1960,,,,,,103625,225000,1023598,0,4291,272498,1,M,,,,,
222,,1/1/2028,,,,,,155000,187500,2232663,0,6447,0,0,F,,,,,
223,400,,1/14/1994,4/20/1995,5/27/1999,1300,6,1475,0,0,1475,0,0,0,M,100,250,,,1300
224,1875,9/1/1961,2/2/2010,4/3/2012,4/3/2012,2470,3,145944,171000,2920823,2470,4653,1569880,0,M,500,1875,,,2470
225,,,,,,,,8363,28800,4584,3179,1070,0,0,M,,,,,
226,,,,,,,,0,0,0,0,0,0,0,M,,,,,
227,,5/1/1948,,,,,,124320,191000,1720548,0,5011,0,0,F,,,,,
228,,12/1/1933,,,,,,34862,52200,26858,410,1738,0,0,F,,,,,
229,,10/1/1964,,,,,,94750,187500,1254683,0,3942,582500,0,F,,,,,
230,,,,,,,,0,0,0,0,0,0,0,,,,,,
231,,8/1/1952,,,,,,205822,62500,4485028,0,3524,773863,0,M,,,,,
232,,,,,,,,0,0,0,0,0,0,0,M,,,,,
233,180,2/1/1968,6/4/2005,3/1/2010,4/23/2022,602.04,18,46968,70000,536118,602,1466,479326,0,M,144,17.79,,,602.04
234,,,,,,,,0,0,0,0,0,0,0,,,,,,
235,,,,,,,,0,0,0,0,0,0,0,,,,,,
236,,,,,,,,0,0,0,0,0,0,0,F,,,,,
237,,3/1/1944,,,,,,502533,375000,29699828,0,53952,850692,0,M,,,,,
238,,,,,,,,0,0,0,0,0,0,0,F,,,,,
239,180,5/1/1960,6/1/2003,6/1/2014,6/10/2015,1288,12,86077,162500,907546,1288,2226,395774,0,M,7,10,,,1288
240,100,2/1/1972,10/5/2013,10/5/2013,10/5/2013,100,1,72610,187500,757727,100,2131,400193,0,F,100,100,,,100
241,,1/1/1977,,,,,,17175,47500,120713,0,1156,0,0,M,,,,,
242,,,,,,,,0,0,0,0,0,0,0,F,,,,,
243,,2/1/1973,,,,,,18900,70000,28771,0,1405,0,0,F,,,,,
244,,1/1/1948,,,,,,189666,70000,4300435,0,3832,768474,0,F,,,,,
245,1000,8/1/1981,6/1/2015,6/10/2015,1/19/2016,1500,2,46682,83100,559792,1500,1408,587861,2,M,1000,500,,,1500
246,,,,,,,,0,0,0,0,0,0,0,M,,,,,
247,,12/1/1973,,,,,,32500,125000,247777,0,1771,0,0,M,,,,,
248,,5/1/1931,,,,,,5175,7500,370,0,798,0,0,F,,,,,
249,,7/1/2019,,,,,,28350,35000,16869,0,1675,0,0,M,,,,,
250,,,,,,,,20500,25000,10064,0,1470,0,0,F,,,,,
251,180,1/1/1936,6/12/2014,6/12/2014,6/12/2014,180,1,87302,26600,2040422,180,2348,774460,0,M,180,180,,,180
252,100,,5/5/2011,5/5/2011,5/5/2011,100,1,100,0,0,100,0,0,0,F,100,100,,,100
253,,,,,,,,0,0,0,0,0,0,0,F,,,,,
254,,,,,,,,0,0,0,0,0,0,0,M,,,,,
255,,12/1/2028,,,,,,44375,62500,36610,0,1955,0,0,M,,,,,
256,,9/1/1961,,,,,,88976,187500,922619,0,3794,354520,0,F,,,,,
257,,,,,,,,0,0,0,0,0,0,0,F,,,,,
258,,,,,,,,15962,88678,38085,0,1571,0,0,F,,,,,
259,,7/1/1951,,,,,,479188,121000,17434020,0,29867,993797,0,M,,,,,
260,,2/1/1954,,,,,,77750,87500,1202986,0,3051,0,0,M,,,,,
261,,,,,,,,8364,46466,12756,0,1260,0,0,F,,,,,
262,400,2/1/1960,3/12/2015,12/16/2016,12/16/2016,650,2,65012,87500,900683,650,1723,363566,0,F,250,400,,,650
263,,,,,,,,40013,66100,681284,0,1421,562290,0,F,,,,,
264,,7/1/1957,,,,,,190508,375000,2671156,0,6878,585168,0,M,,,,,
265,,,,,,,,22320,124000,239048,0,1762,0,0,F,,,,,
266,,,,,,,,0,0,0,0,0,0,0,,,,,,
267,,,,,,,,0,0,0,0,0,0,0,F,,,,,
268,,,,,,,,0,0,0,0,0,0,0,M,,,,,
269,,4/1/1975,,,,,,80533,225000,899040,0,3669,346276,0,F,,,,,
270,,,,,,,,6300,35000,7231,0,1144,0,0,F,,,,,
271,,,,,,,,0,0,0,0,0,0,0,F,,,,,
272,,,,,,,,0,0,0,0,0,0,0,F,,,,,
273,,,,,,,,0,0,0,0,0,0,0,F,,,,,
274,27.23,5/1/1978,9/11/2021,4/23/2022,4/23/2022,423.17,16,15603,39600,110813,423,1063,129361,0,F,25.74,27.23,,,423.17
275,,3/1/1957,,,,,,22670,44000,125812,0,1329,0,0,F,,,,,
276,100,8/1/1933,5/21/2015,5/21/2015,5/21/2015,100,1,41975,62500,35395,100,1889,0,0,F,100,100,,,100
277,,,,,,,,0,0,0,0,0,0,0,M,,,,,
278,70,6/1/1976,2/23/2022,2/23/2022,2/23/2022,70,1,21070,87500,39594,70,1502,0,0,M,70,70,,,70
279,180,4/1/1979,3/1/2011,3/1/2012,4/23/2022,497.41,18,44214,125000,420198,497,1697,349349,0,M,180,20.59,,,497.41
280,,,,,,,,0,0,0,0,0,0,0,F,,,,,
281,,,,,,,,0,0,0,0,0,0,0,F,,,,,
282,,,,,,,,0,0,0,0,0,0,0,M,,,,,
283,100,,12/23/2013,12/23/2013,12/23/2013,100,1,8759,47550,13314,200,1270,0,0,F,100,100,,,100
284,,6/1/1936,,,,,,52172,49800,650682,0,1676,403484,0,M,,,,,
285,,12/1/1957,,,,,,53558,87500,3808463,0,3712,336163,0,F,,,,,
286,,,,,,,,10500,37500,80079,0,1171,0,0,M,,,,,
287,25000,6/19/1942,3/4/1994,12/19/2017,5/3/2022,90319,60,238020,87500,3624498,90369,4352,728833,1,F,250,240,,,90319
288,,,,,,,,0,0,0,0,0,0,0,F,,,,,
289,,11/1/1967,,,,,,9792,30600,7165,0,1041,0,0,M,,,,,
290,,,,,,,,0,0,0,0,0,0,0,F,,,,,
291,50,6/1/1956,5/27/2014,5/27/2014,5/27/2014,50,1,230252,375000,4515012,50,7786,765553,0,F,50,50,,,50
292,,3/1/1965,,,,,,53917,87500,693079,0,1650,465845,0,M,,,,,
293,,,,,,,,6594,36633,7971,0,1162,0,0,M,,,,,
294,,,,,,,,0,0,0,0,0,0,0,M,,,,,
295,180,,3/1/2013,3/1/2013,3/1/2013,180,1,180,0,0,180,0,0,0,,180,180,,,180
296,,6/1/1941,,,,,,60164,87500,534130,0,2028,170788,0,M,,,,,
297,,,,,,,,0,0,0,0,0,0,0,F,,,,,
298,,,,,,,,0,0,0,0,0,0,0,M,,,,,
299,,,,,,,,0,0,0,0,0,0,0,,,,,,
300,,,,,,,,0,0,0,0,0,0,0,F,,,,,
301,,,,,,,,0,0,0,0,0,0,0,M,,,,,
302,300,8/1/1944,5/20/1999,3/13/2003,3/13/2003,1500,6,284230,87500,5755170,42891,4713,801331,0,M,300,300,,,1500
303,,,,,,,,0,0,0,0,0,0,0,F,,,,,
304,,,,,,,,0,0,0,0,0,0,0,F,,,,,
305,,5/1/1967,,,,,,57829,87500,781920,0,1622,579080,0,F,,,,,
306,,,,,,,,0,0,0,0,0,0,0,F,,,,,
307,,12/1/1948,,,,,,46087,35000,756251,0,1295,431004,0,M,,,,,
308,,4/1/1941,,,,,,49525,37500,788832,0,1427,548009,0,F,,,,,
309,,,,,,,,0,0,0,0,0,0,0,F,,,,,
310,,,,,,,,8352,46400,12721,0,1259,0,0,M,,,,,
311,,,,,,,,0,0,0,0,0,0,0,F,,,,,
312,,,,,,,,0,0,0,0,0,0,0,M,,,,,
313,,,,,,,,0,0,0,0,0,0,1,F,,,,,
314,20000,2/1/1970,6/21/2006,3/23/2022,4/15/2022,32950,5,130530,96600,1841958,32950,3006,923216,3,M,600,555.56,,,32950
315,,1/1/1959,,,,,,41535,70000,394830,0,1584,256708,0,M,,,,,
316,100,4/1/2025,8/29/2018,8/29/2018,8/29/2018,100,1,56050,60900,599108,100,2002,205494,0,M,100,100,,,100
317,,11/1/1940,,,,,,133385,87500,3244025,0,4292,754675,0,M,,,,,
318,,,,,,,,9584,52968,16193,50,1318,0,0,M,,,,,
319,,,,,,,,0,0,0,0,0,0,0,F,,,,,
320,,12/1/1957,,,,,,37178,37500,469349,0,1234,428556,0,F,,,,,
321,,11/1/1942,,,,,,119947,162500,1786291,0,4930,546440,0,M,,,,,
322,,,,,,,,0,0,0,0,0,0,0,M,,,,,
323,,,,,,,,0,0,0,0,0,0,0,F,,,,,
324,,10/1/1941,,,,,,72500,125000,704030,0,2331,0,0,F,,,,,
325,,8/1/1971,,,,,,17168,59200,22444,0,1333,0,0,F,,,,,
326,,,,,,,,0,0,0,0,0,0,0,M,,,,,
327,180,12/1/1944,2/19/2015,2/19/2015,2/19/2015,180,1,70711,87500,839767,180,1959,448128,0,F,180,180,,,180
328,,4/1/1959,,,,,,86875,187500,767164,0,2383,0,0,F,,,,,
329,,11/1/1953,,,,,,19090,41500,15251,0,1331,0,0,F,,,,,
330,,5/1/1957,,,,,,15136,35200,11085,0,1212,0,0,F,,,,,
331,1200,,6/1/2008,6/16/2008,6/10/2010,1500,2,1500,0,0,1500,0,0,0,M,1200,50,,,1500
332,100,1/1/2026,1/12/2017,1/12/2017,1/12/2017,100,1,19227,12500,2498,9977,1030,0,0,F,100,100,,,100
333,,,,,,,,0,0,0,0,0,0,0,M,,,,,
334,,,,,,,,0,0,0,0,0,0,0,F,,,,,
335,,,,,,,,0,0,0,0,0,0,0,F,,,,,
336,,6/1/1959,,,,,,28492,51200,227880,0,1392,0,0,F,,,,,
337,,,,,,,,0,0,0,0,0,0,0,,,,,,
338,,,,,,,,0,0,0,0,0,0,0,M,,,,,
339,,6/3/1999,,,,,,100792,187500,1103245,0,3142,515041,0,F,,,,,
340,180,4/1/1962,2/24/2001,1/23/2014,1/23/2014,1485,15,75914,187500,617605,4664,2322,0,0,M,10,180,,,1485
341,,1/1/1968,,,,,,42204,62500,483698,0,1399,444087,0,M,,,,,
342,,3/1/1959,,,,,,46481,70000,497615,0,1584,355629,0,M,,,,,
343,,4/1/1963,,,,,,46250,125000,356688,0,1946,0,0,F,,,,,
