ID,LARGEST_GIFT_AMOUNT,BIRTH_DATE,FIRST_GIFT_DATE,LARGEST_GIFT_DATE,LAST_GIFT_DATE,TOTAL_GIFT_AMOUNT,TOTAL_NUMBER_GIFTS,TOTAL_GIVING_CAPACITY,TOTAL_INCOME,TOTAL_NETWORTH,TOTAL_DONATIONS,TOTAL_EAD,LARGEST_REALEST_VALUE,TOTAL_NO_EVENTS_PARTICIPATED,GENDER,FIRST_GIFT_AMOUNT,LAST_GIFT_AMOUNT,Financially_In_Dept,Avg_Gift_Amount,gifting_Capcity,gift_check,age,Group,Score
1977,200.0,1976-06-01,2011,2011,2011,200.0,1.0,55151.0,125000.0,596078,200.0,1741.0,499024.0,0.0,M,200.0,200.0,False,200.0,0.0036264074994107,False,46.0,0,11.208520859554062
2002,180.0,1976-05-01,2001,2010,2011,816.0,7.0,15864.0,62700.0,23273,816.0,1308.0,0.0,0.0,M,144.0,30.0,True,116.57142857142856,0.0514372163388804,False,46.0,0,9.212335218722917
2148,1250.0,1988-04-01,2014,2016,2019,1655.0,5.0,30336.0,125000.0,236596,1655.0,1570.0,273611.0,0.0,M,180.0,15.0,False,331.0,0.0545556434599156,False,35.0,0,8.981940511783566
2160,60.0,1985-08-01,2013,2013,2013,60.0,1.0,6810.0,45000.0,11400,60.0,1055.0,0.0,0.0,F,60.0,60.0,True,60.0,0.0088105726872246,False,37.0,0,11.04829488609897
2169,144.0,1985-01-01,2007,2007,2011,174.0,3.0,29552.0,37200.0,315720,174.0,975.0,282399.0,0.0,F,144.0,20.0,False,58.0,0.0058879263670817,False,38.0,0,11.312265748884116
2284,75.0,1960-05-01,2011,2011,2011,75.0,1.0,9575.0,17500.0,50183,75.0,884.0,0.0,0.0,F,75.0,75.0,False,75.0,0.0078328981723237,False,62.0,0,11.928531404343339
2292,100.0,1972-04-01,2011,2011,2011,100.0,1.0,31739.0,66500.0,294112,100.0,1387.0,260388.0,0.0,M,100.0,100.0,False,100.0,0.0031506978795803,False,51.0,0,11.167103353754673
2425,50.0,1978-09-01,2011,2012,2012,75.0,2.0,9349.0,27700.0,49156,75.0,909.0,69142.0,0.0,F,25.0,50.0,False,37.5,0.0080222483688094,False,44.0,0,11.406866904188107
2524,150.0,1961-12-01,2011,2011,2011,150.0,1.0,31000.0,45000.0,321075,150.0,1286.0,0.0,0.0,F,150.0,150.0,False,150.0,0.0048387096774193,False,61.0,0,11.730981718750588
2872,29.36,1976-04-01,2021,2022,2022,319.06,12.0,30120.0,62500.0,286935,319.0,1306.0,296023.0,4.0,F,26.12,29.36,False,26.58833333333333,0.0105929614873837,False,47.0,0,10.479350840371831
2968,16.34,1992-05-01,2021,2022,2022,254.75,16.0,24762.0,47500.0,194455,255.0,1016.0,414136.0,0.0,F,15.71,16.34,False,15.921875,0.0102879412002261,False,30.0,0,11.381422638961594
3039,180.0,1980-10-01,2003,2014,2014,620.0,5.0,14881.0,44000.0,94527,620.0,1082.0,118010.0,0.0,F,50.0,15.0,False,124.0,0.0416638666756266,False,42.0,0,10.836256808583169
3061,180.0,1986-07-01,2011,2012,2013,360.0,2.0,9110.0,62500.0,20450,360.0,1199.0,0.0,0.0,M,180.0,180.0,True,180.0,0.0395170142700329,False,36.0,0,10.359204843817508
3124,180.0,1991-07-01,2009,2016,2016,580.0,7.0,2830.0,25000.0,2107,580.0,786.0,0.0,0.0,F,50.0,180.0,True,82.85714285714286,0.2049469964664311,False,31.0,0,2.162201449897993
3176,50.0,2018-08-01,2010,2013,2013,100.0,2.0,41100.0,50000.0,28980,100.0,1959.0,0.0,0.0,M,50.0,50.0,True,50.0,0.0024330900243309,False,4.0,0,10.103110750049987
3425,50.0,1980-07-01,2014,2014,2014,50.0,1.0,16350.0,44000.0,121929,50.0,1091.0,0.0,0.0,F,50.0,50.0,False,50.0,0.0030581039755351,False,42.0,0,10.988407813934256
3435,180.0,1978-10-01,2011,2011,2011,180.0,1.0,59462.0,87500.0,811459,180.0,2263.0,417539.0,0.0,M,180.0,180.0,False,180.0,0.0030271433856917,False,44.0,0,11.165403996663626
3574,135.0,1985-12-01,2011,2011,2011,135.0,1.0,12635.0,62500.0,68480,135.0,1199.0,0.0,0.0,F,135.0,135.0,False,135.0,0.0106846062524732,False,37.0,0,12.111845131847975
3615,100.0,1982-07-01,2018,2018,2018,100.0,1.0,52103.0,35000.0,728605,100.0,1408.0,508974.0,0.0,F,100.0,100.0,False,100.0,0.0019192752816536,False,40.0,0,10.73661122972627
3635,300.0,1990-02-01,2011,2013,2013,975.0,13.0,9645.0,86700.0,54775,975.0,1327.0,0.0,0.0,M,300.0,25.0,True,75.0,0.1010886469673405,False,33.0,0,3.8778075203686164
3781,180.0,1976-02-01,2011,2011,2011,180.0,1.0,33335.0,70000.0,326046,180.0,1369.0,327107.0,0.0,M,180.0,180.0,False,180.0,0.0053997300134993,False,47.0,0,11.33820811822442
3848,16.88,1989-01-01,2013,2022,2022,98.32,6.0,8655.0,7500.0,77896,98.0,485.0,154640.0,0.0,M,15.0,16.88,False,16.386666666666667,0.0113599075678798,False,34.0,0,11.0785767650904
3858,180.0,2018-09-01,2007,2015,2016,550.0,8.0,60916.0,62500.0,678574,550.0,2130.0,194816.0,0.0,M,25.0,50.0,False,68.75,0.0090288265808654,False,4.0,0,10.798856074735065
3888,25.0,2014-10-01,2006,2011,2011,90.0,6.0,53215.0,62500.0,41000,90.0,2205.0,0.0,0.0,F,25.0,25.0,True,15.0,0.0016912524664098,False,8.0,0,10.845639009895907
3891,100.0,1991-09-01,2020,2020,2020,100.0,1.0,37569.0,38400.0,391602,100.0,931.0,687944.0,0.0,F,100.0,100.0,False,100.0,0.0026617690116851,False,31.0,0,10.760970506077838
3937,250.0,1986-05-01,2019,2019,2019,250.0,1.0,25495.0,87500.0,203289,250.0,1378.0,259903.0,0.0,M,250.0,250.0,False,250.0,0.0098058442831927,False,36.0,0,10.809346684567107
3972,50.0,1983-07-01,2013,2013,2013,50.0,1.0,8176.0,47800.0,13205,50.0,1101.0,0.0,0.0,F,50.0,50.0,True,50.0,0.0061154598825831,False,39.0,0,10.88045808967088
4002,180.0,1985-04-01,2021,2021,2022,589.57,26.0,36973.0,87500.0,357363,590.0,1390.0,465158.0,2.0,F,16.35,16.76,False,22.675769230769237,0.0159459605658183,False,38.0,0,10.633845058682642
4300,150.0,1981-04-01,2011,2011,2011,150.0,1.0,86397.0,187500.0,1413716,150.0,3534.0,517438.0,0.0,M,150.0,150.0,False,150.0,0.00173617139484,False,42.0,0,11.064011718693363
4422,9.28,1985-08-01,2021,2022,2022,132.61,16.0,68328.0,375000.0,759088,133.0,2540.0,238890.0,0.0,F,7.04,9.28,False,8.288125,0.0019407856222924,False,37.0,0,10.827009037895358
4528,180.0,1967-12-01,2004,2011,2011,1068.0,8.0,47718.0,62500.0,687140,1068.0,1399.0,451677.0,0.0,F,144.0,40.0,False,133.5,0.0223814912611593,False,55.0,0,12.093278375834641
4638,175.0,1985-06-01,2022,2022,2022,175.0,1.0,40738.0,87500.0,467207,175.0,1390.0,548750.0,1.0,F,175.0,175.0,False,175.0,0.0042957435318375,False,37.0,0,10.119317192819935
